X	qxH	qxM
20	0.003560	0.001300
21	0.003593	0.001342
22	0.003636	0.001384
23	0.003680	0.001416
24	0.003713	0.001458
25	0.003727	0.001490
26	0.003751	0.001533
27	0.003766	0.001565
28	0.003780	0.001608
29	0.003794	0.001641
30	0.003798	0.001685
31	0.003813	0.001728
32	0.003827	0.001772
33	0.003831	0.001826
34	0.003857	0.001880
35	0.003872	0.001935
36	0.003876	0.001990
37	0.003891	0.002046
38	0.003906	0.002101
39	0.003922	0.002168
40	0.003948	0.002245
41	0.003974	0.002312
42	0.004001	0.002390
43	0.004028	0.002458
44	0.004066	0.002538
45	0.004094	0.002617
46	0.004133	0.002698
47	0.004172	0.002779
48	0.004223	0.002871
49	0.004297	0.002985
50	0.004405	0.003121
51	0.004560	0.003291
52	0.004785	0.003515
53	0.005071	0.003785
54	0.005451	0.004133
55	0.005907	0.004550
56	0.006487	0.005070
57	0.007171	0.005686
58	0.007974	0.006409
59	0.008878	0.007235
60	0.009866	0.008133
61	0.010893	0.009098
62	0.011940	0.010087
63	0.013010	0.011116
64	0.013994	0.012085
65	0.014954	0.013064
66	0.015863	0.013996
67	0.016760	0.014940
68	0.018057	0.016266
69	0.019148	0.017416
70	0.020406	0.018736
71	0.021973	0.020368
72	0.023880	0.022329
73	0.026444	0.024936
74	0.029697	0.028263
75	0.033780	0.032419
76	0.038797	0.037552
77	0.044893	0.043801
78	0.052380	0.051543
79	0.062494	0.062004
80	0.075769	0.075756
81	0.091063	0.091073
82	0.104226	0.104228
83	0.119861	0.119853
84	0.136843	0.136850
85	0.155032	0.155039
86	0.176862	0.176850
87	0.202735	0.202729
88	0.232002	0.231964
89	0.265487	0.265465
90	0.302408	0.302323
91	0.340121	0.340032
92	0.381871	0.381905
93	0.427847	0.427868
94	0.478528	0.478475
95	0.533333	0.533019
96	0.593838	0.593434
97	0.662069	0.658385
98	0.734694	0.727273
99	0.846154	0.800000
100	1.000000	1.000000
